id;Latitude;Longitude;Continent;Country;Administrative Area 1;Administrative Area 2;Administrative Area 3;Locality;SubLocality;Description;Status;Url;Images;Size;Types;
6183183854862336;34.15634989;-84.02102513;North America;United States;Georgia;Hall County;;Buford;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6183183854862336;http://lh3.googleusercontent.com/HrFLNn6aZ7YKRka4XwozWpnBohKPTeAnEOxJCWrDMmxc8zL_ckgVKGA6qvwjImUABCyXvR8coKj-26Lajwdx-Nk=s1000, ;LARGE;AUTOMOTIVE, ;
6345774136819712;34.15620639;-84.02125052;North America;United States;Georgia;Hall County;;Buford;;Shoal Creek near old Lanier Harbor. Wrecked boat and dock.;UNCONFIRMED;http://www.trashout.me/illegal-dump/6345774136819712;http://lh3.googleusercontent.com/7eCNLSEKU0noMS1iNqqF_QYoeiFmK7nnMk4Y-aDBp1CDMtBemi91irzcIUyssF0Oqg1QFwgE26oYTFHs3owufEyh=s1000, ;LARGE;AUTOMOTIVE, ;
5401980306456576;34.18886186558212;-83.98668101065232;North America;United States;Georgia;Hall County;;Flowery Branch;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/5401980306456576;http://lh3.googleusercontent.com/5B4rqhprhTwmXWwJ8P011jUmL38K0k21yHzyydPcOYwOiBE8uxjQri_qCPbz3JK0B_P72Vb8Y6ZgeK-RRFBbiuWB=s1000, ;MEDIUM;HOUSEHOLD, AUTOMOTIVE, ;
6399102598250496;34.26201903264435;-84.03018652469295;North America;United States;Georgia;Forsyth County;;Cumming;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6399102598250496;http://lh3.googleusercontent.com/0_7gy2nJtXmbjRaczCIb_ZIdeqbZid5KTcKAglI-3FRzqDjlO5BPwgo7Fs1WqWvkWZueol7xsR6rbv78KxQJmOs=s1000, ;MEDIUM;AUTOMOTIVE, ;
6405555920830464;34.21401111;-83.94331044;North America;United States;Georgia;Hall County;;Flowery Branch;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6405555920830464;http://lh3.googleusercontent.com/b6x2s1NOWyqnQyS66RcfqlWDZeqdMIOdMHJA_RQ2B9fbVTHXAre1PC4pLaY6y-qJ4DSwpJzStCHQzJ_HMxAgLWE=s1000, ;MEDIUM;AUTOMOTIVE, ;
6380206017216512;34.2918288521788;-83.94739578485856;North America;United States;Georgia;Forsyth County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6380206017216512;http://lh3.googleusercontent.com/-OOAsMmqFxBmUs0zdYelDqt5Fj5FHaXRt-0Mnv8MQ7gmebBEIdrkY-Jt92i36qoMy43aaI5azGooP69MYnO2=s1000, ;LARGE;CONSTRUCTION, ;
6463186597314560;34.297086652400246;-83.94981916070353;North America;United States;Georgia;Forsyth County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6463186597314560;http://lh3.googleusercontent.com/1Qo37jKfXAjUayLgYqgH8rBUXSj68mLhC2IBEG97j3T2sv8xTocDCtIj66C2D2OO8UpCMc9MTkYofyU8hIFDoLg=s1000, ;LARGE;CONSTRUCTION, ;
5535731963396096;34.19206765;-83.95600358;North America;United States;Georgia;Hall County;;Flowery Branch;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/5535731963396096;http://lh3.googleusercontent.com/F9zT4DBEcVgQpTMwzcHBbbz4yDTA-wSnG2tEvUtdxdvpWHgtNs29N_oGBHMLaL5xgXdqzAfMCbPORl71ua2zaOZ5=s1000, ;LARGE;CONSTRUCTION, ;
6370270281465856;34.34411818164805;-83.9157959260828;North America;United States;Georgia;Hall County;;Gainesville;;;UNCONFIRMED;http://www.trashout.me/illegal-dump/6370270281465856;http://lh3.googleusercontent.com/9tgaHTPR66xM9tcjQeuvxP5kPvM4JyGPANmtuuWMOCyZ5OLgUh_fRgqkatZ6dyndZvz_u9t298VdpF_zDTf-rik=s1000, ;LARGE;HOUSEHOLD, ;
6378281418883072;34.151481175827;-84.03456615291911;North America;United States;Georgia;Gwinnett County;;Buford;;;CONFIRMED;http://www.trashout.me/illegal-dump/6378281418883072;http://lh3.googleusercontent.com/wTeMMJCakc_OtxoQTP-l1NPi2qspTB2DT4gMN9O8Jy2rF_h6FZvyOWI2P-vA2m1QaGJij1JsSdSmbhzDUrdezg=s1000, http://lh3.googleusercontent.com/3a3VARJq72-X4nvhba8UFGPmU-k83ZiS4dhBKIfbi8mtcpLVxYnBwCPG3PUBFqqQ-GPVCGts1VM9yEjdi1JY2w=s1000, ;LARGE;HOUSEHOLD, ;
